epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6128,2.1019,3.88226,2.12534,0.00222,0.66667,0.05295,0.02112,1.87038,4.10168,2.17252,0.000444444,0.000444444,0.000444444
2,57.2373,1.79532,3.39341,1.86935,0.00222,0.66667,0.14725,0.04176,1.73471,4.00967,1.8089,0.00108911,0.00108911,0.00108911
3,79.5495,1.98804,4.03768,1.92465,0.00259,0.77778,0.0514,0.01968,2.00523,4.18282,1.84286,0.00170738,0.00170738,0.00170738
4,102.352,1.92837,3.19091,1.65011,0.00222,0.66667,0.22665,0.09888,1.97963,4.07193,2.41647,0.0018812,0.0018812,0.0018812
5,123.471,2.06977,3.29821,2.02698,0.00296,0.88889,0.04144,0.01159,1.83965,4.44591,2.3952,0.0018416,0.0018416,0.0018416
6,147.18,2.02927,3.25343,1.93365,0.00296,0.88889,0.04144,0.01159,1.83965,4.44591,2.3952,0.001802,0.001802,0.001802
7,170.069,1.92813,3.13151,1.83445,0.00222,0.66667,0.10348,0.0509,1.8727,4.07905,2.64216,0.0017624,0.0017624,0.0017624
8,192.839,1.93442,2.60478,1.86766,0.00185,0.55556,0.012,0.00421,2.329,4.96754,3.24335,0.0017228,0.0017228,0.0017228
9,214.287,1.94412,2.55384,1.81161,0.00222,0.66667,0.00597,0.00309,1.79194,4.75524,2.20753,0.0016832,0.0016832,0.0016832
10,237.056,1.94173,2.62256,1.80899,0.00222,0.66667,0.00597,0.00309,1.79194,4.75524,2.20753,0.0016436,0.0016436,0.0016436
11,263.247,1.93384,2.48576,1.71778,0.00111,0.33333,0.02849,0.01962,2.30601,4.67352,2.95031,0.001604,0.001604,0.001604
12,287.471,1.68495,2.14581,1.51289,0.00296,0.88889,0.00943,0.00312,1.92652,4.71446,2.15017,0.0015644,0.0015644,0.0015644
13,312.97,1.6602,2.05747,1.67554,0.00257,0.55556,0.01471,0.00487,2.2666,4.97991,3.60917,0.0015248,0.0015248,0.0015248
14,344.434,1.62592,2.20039,1.51347,0.00257,0.55556,0.01471,0.00487,2.2666,4.97991,3.60917,0.0014852,0.0014852,0.0014852
15,373.094,1.57103,2.11173,1.56302,0.0839,0.11111,0.02613,0.00862,2.4083,5.42012,6.00485,0.0014456,0.0014456,0.0014456
16,398.306,1.588,2.09896,1.65343,0.1616,0.11111,0.13805,0.01952,2.47837,5.34546,6.73702,0.001406,0.001406,0.001406
17,423.096,1.54283,1.98313,1.5347,0.00763,0.11111,0.00436,0.00089,2.37381,5.62936,6.96369,0.0013664,0.0013664,0.0013664
18,456.804,1.67901,1.97769,1.63549,0.00763,0.11111,0.00436,0.00089,2.37381,5.62936,6.96369,0.0013268,0.0013268,0.0013268
19,481.551,1.54427,1.88784,1.50397,0.01535,0.11111,0.00463,0.00119,2.51745,7.52555,7.83238,0.0012872,0.0012872,0.0012872
20,504.7,1.52255,2.13681,1.57825,0.0167,0.22222,0.00557,0.00085,2.3118,9.31374,7.96565,0.0012476,0.0012476,0.0012476
21,529.412,1.56903,1.90209,1.73273,0.0341,0.22222,0.01156,0.00142,1.99111,10.2101,6.40784,0.001208,0.001208,0.001208
22,556.663,1.66874,1.8586,1.53129,0.0341,0.22222,0.01156,0.00142,1.99111,10.2101,6.40784,0.0011684,0.0011684,0.0011684
23,589.637,1.67185,1.91907,1.57128,0.01584,0.11111,0.00418,0.00079,2.2158,11.4127,6.08101,0.0011288,0.0011288,0.0011288
24,615.244,1.50724,1.87375,1.49977,0.01457,0.33333,0.0061,0.00119,2.14174,12.6776,5.68235,0.0010892,0.0010892,0.0010892
25,641.328,1.42201,1.83037,1.41502,0.00902,0.22222,0.00379,0.00097,2.18904,13.1865,5.07539,0.0010496,0.0010496,0.0010496
26,673.739,1.3731,1.64241,1.46474,0.00902,0.22222,0.00379,0.00097,2.18904,13.1865,5.07539,0.00101,0.00101,0.00101
27,700.968,1.36799,1.94336,1.61399,0.01846,0.33333,0.01007,0.00201,2.37494,8.03844,4.70904,0.0009704,0.0009704,0.0009704
28,725.948,1.36286,1.46067,1.38173,0.08796,0.11111,0.03486,0.01063,2.5132,5.17578,3.51655,0.0009308,0.0009308,0.0009308
29,751.348,1.50596,1.80782,1.6678,0.79859,0.11111,0.14683,0.07617,2.07542,3.97056,2.49601,0.0008912,0.0008912,0.0008912
30,786.226,1.40524,1.5062,1.42569,0.79859,0.11111,0.14683,0.07617,2.07542,3.97056,2.49601,0.0008516,0.0008516,0.0008516
31,820.5,1.448,1.54655,1.43844,0.95673,0.22222,0.30291,0.16411,1.7498,3.34191,1.91017,0.000812,0.000812,0.000812
32,848.708,1.49304,1.54621,1.46058,1,0.20998,0.32614,0.18253,1.71352,3.18366,1.79167,0.0007724,0.0007724,0.0007724
